claim_id,claim_in_editorial,editorial_citation,verification_source,verification_numbers,verdict,note
A,MIMVS（右小開胸・ロボット）は従来法と同等成績・低侵襲・早期回復,[7] Modi 2008 meta（EJCTS 34:943-952）,"Spadini 2026 Open Heart RCTのみメタ解析（10.1136/openhrt-2025-003612）; Doenst 2023 MMIR 6,878例（10.1093/ejcts/ezad147）",8 RCT/1,248例（CMVS 686 vs MIMVS 562）で死亡・AKIに差なし／再開胸止血 RR 0.24（0.06-0.92）・在院−1.83日（−3.03〜−0.64）。手術時間は延長。MMIRでは大動脈遮断時間が死亡・LCOS・AKIと有意に相関（すべてP<0.001）,支持（ただし限定つき）,"「同等成績・早期回復」はRCTメタで確認。ただし恩恵は在院日数と再開胸で、死亡率の改善ではない。遮断時間が長引く症例では逆に害。引用元の2008年メタは更新すべき"
B,ロボット僧帽弁形成は高い修復率と低合併症,[8] Mihaljevic 2011 JTCVS 141:72-80,"Chikwe 2025 JTCVS 1,410例（10.1016/j.jtcvs.2025.01.021）; Roach 2022 ATS 1,036例（10.1016/j.athoracsur.2021.07.060）; Hadaya 2025 ATS NRD 40,738例（10.1016/j.athoracsur.2024.11.005）",Cedars-Sinai：変性性修復率99.5%・手術死亡0.3%・5年 中等度以上MR回避95%。ただしプログラム学習曲線の頂点は94例目。後発術者は学習曲線なし。10年 >2+MR/再介入回避は後尖92% vs 前尖/両尖83%（HR 3.0）。全米では ロボットは全MV修復の9.8%・費用+$10,500（高volume施設では差が消える）,支持（ただし施設依存）,"「高い修復率」は成立するが、それは病変が後尖単独の場合と、既に成熟したプログラムの中でだけ。94例という閾値と$10,500のコスト差は本文で明示すべき"
C,小児の低侵襲開胸は選択例で安全・再現可能,[9] Heinisch 2018 / [10] Dodge-Khatami 2025 ECHSA,ECHSA 3,007例/11施設（10.1177/21501351251322155）,手術死亡0%・sternotomyへの術中conversion 0%・創感染0.59%・ペースメーカ0.23%・横隔神経損傷0.26%・再手術0.73%（1999-2024）,支持,"11施設のpooled＝選ばれた施設の選ばれた症例。ただし数値自体は強い。ASD/VSD/PAPVR/AVSD/DCRV等の限定された病変群"
D,経腋窩AVRは low-tech・胸骨温存・カメラ不要で満足度高い,[11] Wilbring 2024（1,000例）,原著フルテキスト（10.1093/ejcts/ezae427）＋Wilbring 2023 Medicina PSM 454 vs 454（10.3390/medicina59010160）,遮断43±14分・院内死亡0.9%・脳卒中(≥Rankin 2) 0.9%・conversion 1.9%・OR再搬入7.5%・創治癒不良4.2%（うち71.4%が大腿カニュレーション部）・輸血32.7%。**新規ペースメーカ率の記載がない**（rapid deployment弁81.1%）。STSとEuroSCORE IIはいずれも本コホートの院内死亡を予測できなかった,条件付き支持,"単施設1,000例＋PSM 454例で安全性は示された。ただし①新規PPM率が未報告、②比較対象（Phan 12,786例）は非マッチ・検定なしと著者自身が明記、③Kowalówka 2026 state-of-the-artでは経腋窩の脳卒中率2.0-6.3%と報告されており高い"
E,ロボット大動脈弁手術が視野・人間工学で伸長,引用なし,Badhwar 2024 JTCVS 212例/4施設（10.1016/j.jtcvs.2024.01.020）; Wei 2022 ATS 初回50例（10.1016/j.athoracsur.2021.08.036）,"212例：CPB 166分・遮断117分・conversion 0%・新規PPM 2.8%・脳卒中0.9%・手術死亡0.9%・30日再手術7.5%（全例血胸で弁関連なし）・基部拡大10.8%・機械弁28.8%・在院5日。**212例中180例(85%)がWVU単施設**。著者自身「SAVRとの直接比較を目的とした研究ではない」と明記。誌面区分は Invited Expert Opinion",条件付き支持（弱い）,"無引用の主張に対し実データは存在した。しかし①85%が単施設、②遮断117分は通常SAVRの2倍、③対照群なし、④2024年時点で全世界212例。E2に留まる。日本では2024年度改定でロボット弁置換が保険適用済み＝制度は先に整った"
F,VSARR（David/Yacoub）は長期成績良好,[12] AVIATOR 2023 PSM,原著（10.1093/ejcts/ezac514）＋De Paulis 2025 EHJ（10.1093/eurheartj/ehaf038）＋Sá 2024 ATS メタ（10.1016/j.athoracsur.2023.08.018）,"AVIATOR：VSRR 2,005例 vs CVG-ARR 218例、3:1 PSMで654 vs 218。追跡中央値は両群4年のみ。5年生存 95.4% vs 85.4%（P=0.002）だが5年再介入回避は96.8% vs 95.4%（P=0.98）。EHJ：10年生存85-92%、再手術回避 20年88%/15年96%、reimplantation単独メタ（7,878例/44研究）で10年91%。Sá：remodelingはreimplantationより死亡HR 1.54・再介入HR 1.49（ただし生存差は4年以内に限局）。**AVr/VSARRと弁置換を比較したRCTは存在しない**（EHJが明記）",支持,"長期耐久性は確立。ただし①AVIATORの生存差10%は追跡4年でのPSM残余交絡を疑うべき（再介入は同等）、②2025 ESC/EACTSでVSARRはClass I Level Bに格上げ（AVrはIIa B）"
G,補助器具が再現性・耐久性を高めた（Valsalva graft/caliper/外部リング/El Khoury分類/術中加圧device/HAART）,[13]-[18] 各1本,De Paulis 2025 EHJ Table 1・§Annuloplasty; Lansac 2022 CAVIAAR（10.1093/ejcts/ezac283）; Yildiz 2026 ATS（10.1016/j.athoracsur.2025.07.025）,"EHJ：subcommissural縫合は「術後の進行性弁輪拡大により ほぼ完全に放棄された」。外部リングが最も広く使われる。**内側リング（HAART）は「限られた症例数と追跡でしか報告がなく、早期の失敗は cusp組織の摩耗またはリングのdehiscenceに関連」**。CAVIAAR（261例, REPAIR 130 vs 機械弁Bentall 131）：4年複合エンドポイントHR 0.66（0.39-1.12, 有意差なし）／弁関連死 HR 0.09（0.02-0.34）・大出血 HR 0.37（0.16-0.85）。Marfan/LDS 188例ではValsalva graft使用で大動脈再介入 HR 0.04（P<0.001）",条件付き支持,"器具ごとに評価が分かれる。Valsalva graftとEl Khoury分類とcaliperは支持。外部リングはCAVIAARで弁関連死・出血の減少（複合では非有意）。**内側リング（HAART）は同一著者群(De Kerchove/De Paulis)がEHJ 2025では失敗機序に言及しているのに、本Editorialでは推奨側に置いている＝文書間で不一致**。術中加圧deviceは責任著者自身の製品（24例）"
H,脱細胞化homograftが in situ組織再生で最も先行,[5] Sarikouch 20年 / [6] ARISE 5年 / [20] 2016,原著フルテキスト2本＋Squiers 2024 論評（10.1093/ejcts/ezae197）＋Andreeva 2024（10.1093/ejcts/ezae314）,"肺位DPH 310例/20年：死亡回避96.9%・explant回避85.2%・心内膜炎回避91.0%。**しかし15年で圧較差≥50mmHg回避68.3%→20年で0%、≥中等度PR回避も15年65.1%→20年0%**。大動脈位ARISE 144例5年：再手術回避93.5%。ARISE registry全DAH 358例では再手術回避 5年92.4%→**10年69.5%**。著者自身「現行のDAHの成績は当初の期待に達しておらず、完全な統合は確実には達成されていない」「EUに機械弁vs Ross vs DAHのRCTを申請したが採択されなかった」,条件付き支持（重要な反証あり）,"「最も臨床に近い」は妥当（20年追跡・多施設前向き試験あり＝E3）。しかし『living valve＝成長し永続する』という含意は反証されている。10年で再手術回避69.5%は凍結保存homograftと同等（Squiers）。残存免疫原性を著者らも認める"
I,電界紡糸の生分解性ポリマーconduitが臨床評価済,[21] Morales 2020（2試験）,原著＋Prodan 2022 STCVS（10.1053/j.semtcvs.2021.03.036）＋ClinicalTrials.gov,"XPV-1（12例）：24か月で再手術なしだが5/12に prolapseによる重度PR。設計変更後のXPV-2（6例）：12か月で1例が急速な近位吻合部狭窄でconduit交換、>mild PRは1例のみ。Pivotal study NCT03022708（n=56）は2017年開始・primary completion 2022-12でACTIVE_NOT_RECRUITING、NCT03405636はWITHDRAWN。同社は現在 透析シャント(aXess, NCT05473299/NCT06494631)・CABG(XABG)・PAD(XPAD)を主戦場にしている",条件付き支持（進捗停滞）,"「臨床評価済」は事実だが n=18の第1世代で prolapseによる重度PRが5例。企業のパイプラインが弁から血管グラフトへ移動している事実は『未来』の評価に不可欠"
J,合成ハイブリッドニット生地が先天性で有望,[22] Kasahara 2024,原著（10.1016/j.atssr.2024.04.020）＋PMDA/企業公表,34例41部位（PA 18/RVOT 12/心房中隔 7/心室中隔 4）、年齢中央値1歳11か月、追跡中央値40か月で手術成功率100%・重篤有害事象なし（手技由来の狭窄3件）。**2023-07-11 製造販売承認取得、2024-06-12 販売開始（シンフォリウム／OFT-G1、大阪医科薬科大学・福井経編興業・帝人）**,支持,"世界で唯一『in situ組織再生を狙った心血管材料』が薬事承認まで到達した例。ただしパッチであって弁ではない。本Editorialの唯一の非欧州著者（根本慎太郎）自身の開発品であり、COIの観点で読者に開示すべき"
K,ポリマー弁（Tria/Foldax）僧帽弁位FIH 1年成績良好,[23] George 2025 JACC,原著フルテキスト（10.1016/j.jacc.2025.06.017）＋Kiser 2025 Innovations（10.1177/15569845251375566）,"インド8施設・67例（女性64%・平均42歳・リウマチ性主体）。1年：全死亡9.1%（弁関連死0）・血栓塞栓7.5%・脳卒中4.9%・SVD 0%・再介入0%。EOA 1.4±0.4cm²・平均圧較差4.6±1.7mmHg。**血栓事象2件と虚血性脳卒中3件は全例INR低値時**。INR目標2.0-2.5の達成率は30日61.5%→180日79%→1年95%。著者らは自群の9.1%を『西欧の6.2%より高いがインドのMVR 13%より低い』と位置づけ",条件付き支持（過大評価に注意）,"①**ワルファリンが必要**（目標INR 2.0-2.5）＝機械弁の欠点を残したまま、耐久性の証拠は1年、②SVD 0%は1年では自明、③リウマチ性・INR管理困難な集団での9.1%死亡。『次世代の弁』の証拠としてはE1"
